speed	Kp	Ki	Kd	N	Kaw
4.000000	2.369414	9.720490	0.000000	0.000000	10
5.060185	2.376410	9.506008	0.000000	0.000000	10
6.120370	2.340178	9.159480	0.000000	0.000000	10
7.180556	2.323207	8.888175	0.000000	0.000000	10
8.240741	2.324222	8.680619	0.000000	0.000000	10
9.300926	2.325294	8.468487	0.000000	0.000000	10
10.361111	2.329437	8.270043	0.000000	0.000000	10
11.421296	2.334012	8.075269	0.000000	0.000000	10
12.481481	2.338614	7.882581	0.000000	0.000000	10
13.541667	2.343199	7.691673	0.000000	0.000000	10
14.601852	2.347766	7.502327	0.000000	0.000000	10
15.662037	2.352319	7.314281	0.000000	0.000000	10
16.722222	2.356866	7.127217	0.000000	0.000000	10
17.782407	2.361414	6.940766	0.000000	0.000000	10
18.842593	2.365974	6.754506	0.000000	0.000000	10
19.902778	2.370559	6.567961	0.000000	0.000000	10
20.962963	2.375182	6.380605	0.000000	0.000000	10
22.023148	2.379859	6.191856	0.000000	0.000000	10
23.083333	2.384608	6.001080	0.000000	0.000000	10
24.143519	2.389447	5.807581	0.000000	0.000000	10
25.203704	2.394398	5.610603	0.000000	0.000000	10
26.263889	2.399482	5.409315	0.000000	0.000000	10
27.324074	2.404726	5.202811	0.000000	0.000000	10
28.384259	2.410155	4.990092	0.000000	0.000000	10
29.444444	2.415799	4.770050	0.000000	0.000000	10
